ix	iy	x_um	y_um	i_soft_A	i_hard_A	i_total_A	v_V	ir_drop_V
19	13	1036	712.7	5.871931636e-05	0	5.871931636e-05	1.099801543	0.0001984573312
20	13	1090	712.7	7.440309376e-06	0	7.440309376e-06	1.099619266	0.0003807344478
0	14	10	766.6	0.0002325314166	0	0.0002325314166	1.091844001	0.008155999383
1	14	64	766.6	0.0004765588107	0	0.0004765588107	1.091946499	0.008053501204
2	14	118	766.6	0.0004765588107	0	0.0004765588107	1.092280024	0.007719976384
3	14	172	766.6	0.0004765588107	0	0.0004765588107	1.092838888	0.007161112446
4	14	226	766.6	0.0004765588107	0	0.0004765588107	1.093615025	0.006384975441
5	14	280	766.6	0.0004765588107	0	0.0004765588107	1.094594148	0.005405852259
6	14	334	766.6	0.0004765588107	0	0.0004765588107	1.095742602	0.004257398471
7	14	388	766.6	0.0002693901075	0	0.0002693901075	1.09696872	0.00303127989
8	14	442	766.6	0.0002693901075	0	0.0002693901075	1.097898692	0.002101307522
9	14	496	766.6	0.0002693901075	0	0.0002693901075	1.097761538	0.002238461805
10	14	550	766.6	0.0001434868548	0	0.0001434868548	1.097351899	0.00264810141
11	14	604	766.6	0.0003697060668	0	0.0003697060668	1.096889245	0.003110754903
12	14	658	766.6	0.0003697060668	0	0.0003697060668	1.096576616	0.003423384421
13	14	712	766.6	0.0003697060668	0	0.0003697060668	1.096443451	0.00355654878
14	14	766	766.6	0.0003697060668	0	0.0003697060668	1.096497797	0.003502202823
15	14	820	766.6	0.0003697060668	0	0.0003697060668	1.096738441	0.003261558539
16	14	874	766.6	0.0002772523473	0	0.0002772523473	1.097160463	0.002839536941
17	14	928	766.6	0.0002772523473	0	0.0002772523473	1.097711266	0.002288734002
18	14	982	766.6	0.0002772523473	0	0.0002772523473	1.098376681	0.001623319432
19	14	1036	766.6	6.615962574e-05	0	6.615962574e-05	1.099046727	0.0009532728703
20	14	1090	766.6	7.440309376e-06	0	7.440309376e-06	1.099268904	0.0007310960867
0	15	10	820.5	0.0002325314166	0	0.0002325314166	1.09208413	0.007915870141
1	15	64	820.5	0.0004765588107	0	0.0004765588107	1.092188809	0.007811191344
2	15	118	820.5	0.0004765588107	0	0.0004765588107	1.092523646	0.007476354148
3	15	172	820.5	0.0004765588107	0	0.0004765588107	1.093076832	0.006923167975
4	15	226	820.5	0.0004765588107	0	0.0004765588107	1.093835589	0.006164411277
5	15	280	820.5	0.0004765588107	0	0.0004765588107	1.094782313	0.005217686641
6	15	334	820.5	0.0004765588107	0	0.0004765588107	1.095882863	0.004117136709
7	15	388	820.5	0.0002693901075	0	0.0002693901075	1.097051606	0.002948394071
8	15	442	820.5	0.0002693901075	0	0.0002693901075	1.097936612	0.002063387771
9	15	496	820.5	0.0002693901075	0	0.0002693901075	1.097822789	0.002177211328
10	15	550	820.5	0.0002760690811	0	0.0002760690811	1.097444789	0.002555210967
11	15	604	820.5	0.0002760690811	0	0.0002760690811	1.097063175	0.002936825052
12	15	658	820.5	0.0002760690811	0	0.0002760690811	1.096795508	0.003204492071
13	15	712	820.5	0.0002760690811	0	0.0002760690811	1.096682093	0.003317907438
14	15	766	820.5	0.0002760690811	0	0.0002760690811	1.096733017	0.003266982589
15	15	820	820.5	0.0002760690811	0	0.0002760690811	1.09694346	0.00305653959
16	15	874	820.5	0.0002760690811	0	0.0002760690811	1.097295149	0.002704851151
17	15	928	820.5	0.000558829773	0	0.000558829773	1.097744362	0.002255638456
18	15	982	820.5	0.000558829773	0	0.000558829773	1.098362378	0.00163762153
