u	v	kind	res_ohm
340	341	x	1.712489669e-03
340	368	y	8.437333742e-03
341	342	x	1.712489669e-03
341	369	y	8.437333742e-03
342	343	x	1.712489669e-03
342	370	y	8.437333742e-03
343	344	x	1.712489669e-03
343	371	y	8.437333742e-03
344	345	x	1.712489669e-03
344	372	y	8.437333742e-03
345	346	x	1.712489669e-03
345	373	y	8.437333742e-03
346	347	x	1.712489669e-03
346	374	y	8.437333742e-03
347	348	x	1.712489669e-03
347	375	y	8.437333742e-03
348	349	x	1.712489669e-03
348	376	y	8.437333742e-03
349	350	x	1.712489669e-03
349	377	y	8.437333742e-03
350	351	x	1.712489669e-03
350	378	y	8.437333742e-03
351	352	x	1.712489669e-03
351	379	y	8.437333742e-03
352	353	x	1.712489669e-03
352	380	y	8.437333742e-03
353	354	x	1.712489669e-03
353	381	y	8.437333742e-03
354	355	x	1.712489669e-03
354	382	y	8.437333742e-03
355	356	x	1.712489669e-03
355	383	y	8.437333742e-03
356	357	x	1.712489669e-03
356	384	y	8.437333742e-03
357	358	x	1.712489669e-03
357	385	y	8.437333742e-03
358	359	x	1.712489669e-03
358	386	y	8.437333742e-03
359	360	x	1.712489669e-03
359	387	y	8.437333742e-03
360	361	x	1.712489669e-03
360	388	y	8.437333742e-03
361	362	x	1.712489669e-03
361	389	y	8.437333742e-03
362	363	x	1.712489669e-03
362	390	y	8.437333742e-03
363	391	y	8.437333742e-03
364	365	x	1.712489669e-03
364	392	y	8.437333742e-03
365	366	x	1.712489669e-03
365	393	y	8.437333742e-03
366	367	x	1.712489669e-03
366	394	y	8.437333742e-03
367	368	x	1.712489669e-03
367	395	y	8.437333742e-03
368	369	x	1.712489669e-03
368	396	y	8.437333742e-03
369	370	x	1.712489669e-03
369	397	y	8.437333742e-03
370	371	x	1.712489669e-03
370	398	y	8.437333742e-03
371	372	x	1.712489669e-03
371	399	y	8.437333742e-03
372	373	x	1.712489669e-03
372	400	y	8.437333742e-03
373	374	x	1.712489669e-03
373	401	y	8.437333742e-03
374	375	x	1.712489669e-03
374	402	y	8.437333742e-03
375	376	x	1.712489669e-03
375	403	y	8.437333742e-03
376	377	x	1.712489669e-03
376	404	y	8.437333742e-03
377	378	x	1.712489669e-03
377	405	y	8.437333742e-03
378	379	x	1.712489669e-03
378	406	y	8.437333742e-03
379	380	x	1.712489669e-03
379	407	y	8.437333742e-03
380	381	x	1.712489669e-03
380	408	y	8.437333742e-03
381	382	x	1.712489669e-03
381	409	y	8.437333742e-03
382	383	x	1.712489669e-03
382	410	y	8.437333742e-03
383	384	x	1.712489669e-03
383	411	y	8.437333742e-03
384	385	x	1.712489669e-03
384	412	y	8.437333742e-03
385	386	x	1.712489669e-03
385	413	y	8.437333742e-03
386	387	x	1.712489669e-03
386	414	y	8.437333742e-03
387	388	x	1.712489669e-03
387	415	y	8.437333742e-03
388	389	x	1.712489669e-03
388	416	y	8.437333742e-03
389	390	x	1.712489669e-03
389	417	y	8.437333742e-03
390	391	x	1.712489669e-03
390	418	y	8.437333742e-03
391	419	y	8.437333742e-03
392	393	x	1.712489669e-03
392	420	y	8.437333742e-03
393	394	x	1.712489669e-03
393	421	y	8.437333742e-03
394	395	x	1.712489669e-03
394	422	y	8.437333742e-03
395	396	x	1.712489669e-03
395	423	y	8.437333742e-03
396	397	x	1.712489669e-03
396	424	y	8.437333742e-03
397	398	x	1.712489669e-03
397	425	y	8.437333742e-03
398	399	x	1.712489669e-03
398	426	y	8.437333742e-03
399	400	x	1.712489669e-03
399	427	y	8.437333742e-03
400	401	x	1.712489669e-03
400	428	y	8.437333742e-03
401	402	x	1.712489669e-03
401	429	y	8.437333742e-03
402	403	x	1.712489669e-03
402	430	y	8.437333742e-03
403	404	x	1.712489669e-03
403	431	y	8.437333742e-03
404	405	x	1.712489669e-03
404	432	y	8.437333742e-03
405	406	x	1.712489669e-03
405	433	y	8.437333742e-03
406	407	x	1.712489669e-03
406	434	y	8.437333742e-03
407	408	x	1.712489669e-03
407	435	y	8.437333742e-03
408	409	x	1.712489669e-03
408	436	y	8.437333742e-03
409	410	x	1.712489669e-03
409	437	y	8.437333742e-03
410	411	x	1.712489669e-03
410	438	y	8.437333742e-03
411	412	x	1.712489669e-03
411	439	y	8.437333742e-03
412	413	x	1.712489669e-03
412	440	y	8.437333742e-03
413	414	x	1.712489669e-03
413	441	y	8.437333742e-03
414	415	x	1.712489669e-03
414	442	y	8.437333742e-03
415	416	x	1.712489669e-03
415	443	y	8.437333742e-03
416	417	x	1.712489669e-03
416	444	y	8.437333742e-03
417	418	x	1.712489669e-03
417	445	y	8.437333742e-03
418	419	x	1.712489669e-03
418	446	y	8.437333742e-03
419	447	y	8.437333742e-03
420	421	x	1.712489669e-03
420	448	y	8.437333742e-03
421	422	x	1.712489669e-03
421	449	y	8.437333742e-03
422	423	x	1.712489669e-03
422	450	y	8.437333742e-03
423	424	x	1.712489669e-03
423	451	y	8.437333742e-03
424	425	x	1.712489669e-03
424	452	y	8.437333742e-03
425	426	x	1.712489669e-03
425	453	y	8.437333742e-03
426	427	x	1.712489669e-03
426	454	y	8.437333742e-03
427	428	x	1.712489669e-03
427	455	y	8.437333742e-03
428	429	x	1.712489669e-03
428	456	y	8.437333742e-03
429	430	x	1.712489669e-03
429	457	y	8.437333742e-03
430	431	x	1.712489669e-03
430	458	y	8.437333742e-03
431	432	x	1.712489669e-03
431	459	y	8.437333742e-03
432	433	x	1.712489669e-03
432	460	y	8.437333742e-03
433	434	x	1.712489669e-03
433	461	y	8.437333742e-03
434	435	x	1.712489669e-03
434	462	y	8.437333742e-03
435	436	x	1.712489669e-03
