x_idx	y_idx	drop_pct	voltage_v
18	24	0.135958838	0.998640412
19	24	0.139887294	0.998601127
20	24	0.142893543	0.998571065
21	24	0.144972294	0.998550277
22	24	0.146116400	0.998538836
23	24	0.146451909	0.998535481
24	24	0.146726693	0.998532733
25	24	0.146942107	0.998530579
26	24	0.147152420	0.998528476
27	24	0.147147695	0.998528523
0	23	0.146685947	0.998533141
1	23	0.146376248	0.998536238
2	23	0.145686212	0.998543138
3	23	0.144607139	0.998553929
4	23	0.143137569	0.998568624
5	23	0.141282798	0.998587172
6	23	0.139055636	0.998609444
7	23	0.136479075	0.998635209
8	23	0.133592559	0.998664074
9	23	0.130034204	0.998699658
10	23	0.125330539	0.998746695
11	23	0.119545858	0.998804541
12	23	0.112715386	0.998872846
13	23	0.104230844	0.998957692
14	23	0.112673912	0.998873261
15	23	0.120202929	0.998797971
16	23	0.126822632	0.998731774
17	23	0.132535929	0.998674641
18	23	0.137344281	0.998626557
19	23	0.141247806	0.998587522
20	23	0.144244414	0.998557556
21	23	0.146328105	0.998536719
22	23	0.147485315	0.998525147
23	23	0.147813407	0.998521866
24	23	0.148051648	0.998519484
25	23	0.148190929	0.998518091
26	23	0.148273841	0.998517262
27	23	0.148302689	0.998516973
0	22	0.153707108	0.998462929
1	22	0.153704333	0.998462957
2	22	0.153129120	0.998468709
3	22	0.152028900	0.998479711
4	22	0.150417974	0.998495820
5	22	0.148301785	0.998516982
6	22	0.145678484	0.998543215
7	22	0.142536906	0.998574631
8	22	0.138850439	0.998611496
9	22	0.134178005	0.998658220
10	22	0.128653508	0.998713465
11	22	0.122222292	0.998777777
12	22	0.114854219	0.998851458
13	22	0.105901989	0.998940980
14	22	0.114207415	0.998857926
15	22	0.121630614	0.998783694
16	22	0.128168842	0.998718312
17	22	0.133821466	0.998661785
18	22	0.138590025	0.998614100
19	22	0.142478796	0.998575212
20	22	0.145495138	0.998545049
21	22	0.147650854	0.998523491
22	22	0.148964476	0.998510355
23	22	0.149388006	0.998506120
24	22	0.149634712	0.998503653
25	22	0.149717718	0.998502823
26	22	0.149661444	0.998503386
27	22	0.149599841	0.998504002
0	21	0.159386260	0.998406137
1	21	0.159405413	0.998405946
2	21	0.158805457	0.998411945
3	21	0.157613819	0.998423862
4	21	0.155834427	0.998441656
5	21	0.153466055	0.998465339
6	21	0.150501411	0.998494986
7	21	0.146926180	0.998530738
8	21	0.142717622	0.998572824
9	21	0.137460463	0.998625395
10	21	0.131384236	0.998686158
11	21	0.124455092	0.998755449
12	21	0.116645207	0.998833548
13	21	0.107300960	0.998926990
14	21	0.115489867	0.998845101
15	21	0.122820370	0.998771796
16	21	0.129280595	0.998707194
17	21	0.134864767	0.998651352
18	21	0.139572796	0.998604272
19	21	0.143410177	0.998565898
20	21	0.146388157	0.998536118
21	21	0.148524745	0.998514753
22	21	0.149844814	0.998501552
23	21	0.150264087	0.998497359
24	21	0.150497616	0.998495024
25	21	0.150554371	0.998494456
26	21	0.150436645	0.998495634
27	21	0.150342648	0.998496574
0	20	0.163570011	0.998364300
1	20	0.163561086	0.998364389
2	20	0.162895730	0.998371043
3	20	0.161593153	0.998384068
4	20	0.159651645	0.998403484
5	20	0.157066812	0.998429332
6	20	0.153831252	0.998461687
7	20	0.149934407	0.998500656
