id	layer_index	layer_name	x_um	y_um	fixed_voltage	fixed_voltage_v	injected_current_a	voltage_v
4765	1	metal5	60	412	0	0	0	0.999945
4766	1	metal5	70	412	0	0	0	0.999945
4767	1	metal5	80	412	0	0	0	0.999945
4768	1	metal5	90	412	0	0	0	0.999945
4769	1	metal5	100	412	0	0	0	0.999945
4770	1	metal5	110	412	0	0	0	0.999946
4771	1	metal5	120	412	0	0	0	0.999946
4772	1	metal5	130	412	0	0	0	0.999946
4773	1	metal5	140	412	0	0	0	0.999946
4774	1	metal5	150	412	0	0	0	0.999947
4775	1	metal5	160	412	0	0	0	0.999947
4776	1	metal5	170	412	0	0	0	0.999947
4777	1	metal5	180	412	0	0	0	0.999947
4778	1	metal5	190	412	0	0	0	0.999948
4779	1	metal5	200	412	0	0	0	0.999948
4780	1	metal5	210	412	0	0	0	0.999949
4781	1	metal5	220	412	0	0	0	0.999949
4782	1	metal5	230	412	0	0	0	0.999949
4783	1	metal5	240	412	0	0	0	0.99995
4784	1	metal5	250	412	0	0	0	0.999951
4785	1	metal5	260	412	0	0	0	0.999951
4786	1	metal5	270	412	0	0	0	0.999952
4787	1	metal5	280	412	0	0	0	0.999952
4788	1	metal5	290	412	0	0	0	0.999953
4789	1	metal5	300	412	0	0	0	0.999953
4790	1	metal5	310	412	0	0	0	0.999954
4791	1	metal5	320	412	0	0	0	0.999955
4792	1	metal5	330	412	0	0	0	0.999956
4793	1	metal5	340	412	0	0	0	0.999956
4794	1	metal5	350	412	0	0	0	0.999957
4795	1	metal5	360	412	0	0	0	0.999958
4796	1	metal5	370	412	0	0	0	0.999959
4797	1	metal5	380	412	0	0	0	0.99996
4798	1	metal5	390	412	0	0	0	0.999961
4799	1	metal5	400	412	0	0	0	0.999962
4800	1	metal5	410	412	0	0	0	0.999963
4801	1	metal5	420	412	0	0	0	0.999965
4802	1	metal5	430	412	0	0	0	0.999966
4803	1	metal5	440	412	0	0	0	0.999967
4804	1	metal5	450	412	0	0	0	0.999969
4805	1	metal5	460	412	0	0	0	0.99997
4806	1	metal5	470	412	0	0	0	0.999972
4807	1	metal5	480	412	0	0	0	0.999973
4808	1	metal5	490	412	0	0	0	0.999975
4809	1	metal5	500	412	0	0	0	0.999976
4810	1	metal5	510	412	0	0	0	0.999978
4811	1	metal5	520	412	0	0	0	0.999981
4812	1	metal5	530	412	0	0	0	0.999982
4813	1	metal5	540	412	0	0	0	0.999984
4814	1	metal5	550	412	0	0	0	0.999985
4815	1	metal5	560	412	0	0	0	0.999982
4816	1	metal5	570	412	0	0	0	0.99998
4817	1	metal5	580	412	0	0	0	0.99998
