net	sig_type	shape_kind	layer	llx_um	lly_um	urx_um	ury_um	cx_um	cy_um
VDD	POWER	via	?	26.605	1063.56	27.535	1064.49	27.07	1064.025
VDD	POWER	via	?	26.605	1053.56	27.535	1054.49	27.07	1054.025
VDD	POWER	via	?	26.605	1043.56	27.535	1044.49	27.07	1044.025
VDD	POWER	via	?	26.605	1033.56	27.535	1034.49	27.07	1034.025
VDD	POWER	via	?	26.605	1023.56	27.535	1024.49	27.07	1024.025
VDD	POWER	via	?	92.79	1073.56	93.07	1074.49	92.93	1074.025
VDD	POWER	via	?	92.79	1063.56	93.07	1064.49	92.93	1064.025
VDD	POWER	via	?	92.79	1053.56	93.07	1054.49	92.93	1054.025
VDD	POWER	via	?	92.79	1043.56	93.07	1044.49	92.93	1044.025
VDD	POWER	via	?	92.79	1033.56	93.07	1034.49	92.93	1034.025
VDD	POWER	via	?	92.79	1023.56	93.07	1024.49	92.93	1024.025
VDD	POWER	via	?	88.31	1073.56	88.59	1074.49	88.45	1074.025
VDD	POWER	via	?	88.31	1063.56	88.59	1064.49	88.45	1064.025
VDD	POWER	via	?	88.31	1053.56	88.59	1054.49	88.45	1054.025
VDD	POWER	via	?	88.31	1043.56	88.59	1044.49	88.45	1044.025
VDD	POWER	via	?	88.31	1033.56	88.59	1034.49	88.45	1034.025
VDD	POWER	via	?	88.31	1023.56	88.59	1024.49	88.45	1024.025
VDD	POWER	via	?	83.83	1073.56	84.11	1074.49	83.97	1074.025
VDD	POWER	via	?	83.83	1063.56	84.11	1064.49	83.97	1064.025
VDD	POWER	via	?	83.83	1053.56	84.11	1054.49	83.97	1054.025
VDD	POWER	via	?	83.83	1043.56	84.11	1044.49	83.97	1044.025
VDD	POWER	via	?	83.83	1033.56	84.11	1034.49	83.97	1034.025
VDD	POWER	via	?	83.83	1023.56	84.11	1024.49	83.97	1024.025
VDD	POWER	via	?	79.35	1073.56	79.63	1074.49	79.49	1074.025
VDD	POWER	via	?	79.35	1063.56	79.63	1064.49	79.49	1064.025
VDD	POWER	via	?	79.35	1053.56	79.63	1054.49	79.49	1054.025
VDD	POWER	via	?	79.35	1043.56	79.63	1044.49	79.49	1044.025
VDD	POWER	via	?	79.35	1033.56	79.63	1034.49	79.49	1034.025
VDD	POWER	via	?	79.35	1023.56	79.63	1024.49	79.49	1024.025
VDD	POWER	via	?	74.87	1073.56	75.15	1074.49	75.01	1074.025
VDD	POWER	via	?	74.87	1063.56	75.15	1064.49	75.01	1064.025
VDD	POWER	via	?	74.87	1053.56	75.15	1054.49	75.01	1054.025
VDD	POWER	via	?	74.87	1043.56	75.15	1044.49	75.01	1044.025
VDD	POWER	via	?	74.87	1033.56	75.15	1034.49	75.01	1034.025
VDD	POWER	via	?	74.87	1023.56	75.15	1024.49	75.01	1024.025
VDD	POWER	via	?	70.39	1073.56	70.67	1074.49	70.53	1074.025
VDD	POWER	via	?	70.39	1063.56	70.67	1064.49	70.53	1064.025
VDD	POWER	via	?	70.39	1053.56	70.67	1054.49	70.53	1054.025
VDD	POWER	via	?	70.39	1043.56	70.67	1044.49	70.53	1044.025
VDD	POWER	via	?	70.39	1033.56	70.67	1034.49	70.53	1034.025
VDD	POWER	via	?	70.39	1023.56	70.67	1024.49	70.53	1024.025
VDD	POWER	via	?	65.91	1073.56	66.19	1074.49	66.05	1074.025
VDD	POWER	via	?	65.91	1063.56	66.19	1064.49	66.05	1064.025
VDD	POWER	via	?	65.91	1053.56	66.19	1054.49	66.05	1054.025
VDD	POWER	via	?	65.91	1043.56	66.19	1044.49	66.05	1044.025
VDD	POWER	via	?	65.91	1033.56	66.19	1034.49	66.05	1034.025
VDD	POWER	via	?	65.91	1023.56	66.19	1024.49	66.05	1024.025
